,rating,rating_title,rating_description,rating_pros,rating_cons
579,5.0,Great work and life blance,Great company to work for. One of the better companies I've had the pleasure to work on behalf of. Great way to really challenge your skill sets. Highly recommended.,,[]
580,5.0,The company puts great emphasis on diversity,College programs are very inclusive. We had flexible hours and we had enough guidance and mentorship from software engineeer and product managers across Google campuses in Sunnyvale and Mountain View.,,[]
581,5.0,productive and clean,"exciting location and great environment, the people and workplace was clean and inviting, the work load itself wasn't too bad and allowed for overtime",,[]
582,5.0,Très agréable,Entreprise à la hauteur des attentes. Prise en compte de vos ambitions.,,[]
583,5.0,Ambiente competitivo e stimolante,"Ambiente competitivo e stimolante, occorre sempre essere sul pezzo e aggiornati",,[]
584,5.0,Company Culture,Getting up and going to work was fun because of my team and the overall peer culture. The compensation and benefits were very fair and plentiful. I enjoyed my time there.,,[]
585,4.0,I work for YouTube and it's okay,The terms and conditions for content creators on YouTube are always changing and often make it harder to monetize your content. I feel like they rarely listen to what their creators want. Overall a good job if you're willing to put in work to get where you want to be as you have to do that entirely on your own.,,[]
586,4.0,Relaxed work environment,"Very good workplace culture.Limited options to climb.Meet people from different walks of life with different skills.Several free resources such as gym, free food, and perks.Worked as a contractor so do not have access to most of the perks/resources.","Free breakfast, lunch and dinner, game rooms and casual atmosphere",[]
587,3.0,difficult place to move up in this location,"difficult environment to grow. They wanted to keep people at 13$/hr and there was no option to move into the offices, or move up. It seemed to be a good starting position for a young adult, or possibly a part time student.",,[]
588,5.0,amazing ,Really loved it. such a great time. entire team was great. the work environment is so professional. highly recommend you and your friend applying and working here you will love it,,[]
589,3.0,Positive learning experience,"Never be afraid to encounter different circumstances, they will only make you who you are. As master of our art we must encounter all sorts of situations, i have learned along the way that being postive, and open to hearing goes  further  than resisting.",,[]
590,5.0,great office nice people,I traveled throughout the Midwest on a special project for google collecting data. I was solo work and a lot of windshield time but good hours and nice benefits.,,[]
591,5.0,Great company to work for.,Great place to work. Lots of room for advancement in position and career. Perks are great and the culture is amazing. They want you to be successful and give you the tools to do so.,,[]
592,4.0,Fun experience,"Very fun being a part of a project that is a new feature for a popular app that millions of people use everyday. Having the experience of using new technology called, Augmented Reality and how it will help people find there way throughout cities in the country is very profound.","Free lunch, paid expenses, travel to different places of my choosing, started at anytime of the day when of my choosing.",[]
593,4.0,Fast Paced and Exciting Work Environment,"Working at Google is what you'd expect - some of the smartest people in the business, great perks and potentially long hours.  The end goal is always clear, management is there to support as well as help you succeed, and there's always something new to keep you on your toes.",,[]
594,5.0,I work for myself from home,"It is rewarding and wonderful to work for one's self from home! It doesn't always pay well, but this is something that is in my own control. This is not a Google review as I do not work for Google even remotely.","Great environment, surrounded by support and positivity",[]
595,4.0,Fun place,Great company to work for with lots of learning and best in the industry benefits. Great stock grant plan and open culture. Lots of smart people to collaborate and work with,,[]
596,5.0,Great Culture,"Everything about Google is true, the culture is great and people actually want you to succeed. The work life balance is great since they have work from home days which is great in todays' world since some IT positions tend to under pay and over work their employees.",,[]
597,5.0,bien,bien la empresa en la que saque esto era online y iba bien,,[]
598,5.0,"Nice, professional people","As a contractor, I enjoyed working on the project and collaborating with the people. Much depends on what you are tasked to do on your project. I wish my project was longer.",,[]
599,5.0,Ótimo,Empresa ao qual realizei a certificações e presto serviços licenciados Google,,[]
600,4.0,Contractor,Did not feel welcome I was a value to the company. Was not allowed to enjoy the perks that Full Time Employees enjoyed and the hours were very varied in terms of the position that I was supporting.,,[]
601,5.0,Next Level Silicon Valley Company,The workplace is beautiful and dog-friendly. The open office space promotes collaboration and bonding between the employees. Everyone is uniquely valued for their contributions and your managers love answering questions! Looker wants to support you which makes you want to support the company.,,[]
602,5.0,productivity and Fun place,"Iam really good at communication skills and can junggle multiple tasks.I can make things by myself without anyones help.Iam good at extra curicular activities.",,[]
603,5.0,Nothing bad,This company was amazing. I never had a bad day with this company. I loved going to work . I loved the people around me at work . The money was great.,Great company,[]
604,3.0,The Grass is not always green,"Google job securities is near zero. If you have a stable job then I wouldn'trecommend anyone to have a false illusion  of wanting to work for a big company.",,[]
605,5.0,Was an online cloud challenge,"Took a cloud architecture which is obviously the future. Over time, Internet and cloud computing architectures enabled global access from a variety of computing devices. Even though this ""cloud architecture"" is decentralized in terms of hardware, it has given rise to application-level centralization",,[]
606,4.0,Great company,"Find your niche and become a true Googler. It's a great place to work, but you have to be comfortable with being subsumed into the work and culture. It's not really a place for truly individualistic people.",,[]
607,5.0,Great,"Great places to work. I as a contractor for Google, didn't work to much with any representative directly. Throughout my duration of project and completion had no complaints.",,[]
608,5.0,Organizational culture,Google is a company that allows you to be productive and creative within your working hours. Here you can feel your work attach great value and you can learn more everyday. People are kind and always want to help.,,[]
609,5.0,amazing ,Really loved it. such a great time. entire team was great. the work environment is so professional. highly recommend you and your friend applying and working here you will love it,,[]
610,5.0,This is a great place to work in Tech,"This is a great place to work, lots of fun projects to get involved in, the culture is amazing.  You have to come prepared to work at Google, they expect a lot from you",,[]
611,5.0,Very technically advanced opportunity,"WORK EXPERIENCE:Google: 3/04/19 - 10/17/19 (Contracted Ended)Position: Trekker OperatorDuties: Map designated areas by assignment in the New Orleans area with a Street View Trekker, essentially a 75 lb. backpack with a built in 360 degree camera that has a hard drive for data storage. Walking 8+ miles per day collecting data of surrounding areas for Google Maps, helping to make location mapping precise when trying to location establishments via Google Map.",,[]
612,1.0,"Run away, fast.","Unless you want to become a modern day slave, run far away from Bon Appetite at Google. Working there was the worst professional experience of my life. I was hit on by chefs, treating very badly during my pregnancy there, and went weeks without being paid. I was lied to on numerous occasions, and retaliated against. When I asked for help when I was 8 months pregnant, I was told no.",,[]
613,5.0,Productive and Great place to work,"Management is greatFeels like homeWork place culture is very blissfulThere was no hardest part of the jobFriendly Working EnvironmentGreat Ambience",,[]
614,4.0,A party every friday,"This is definitely a fishbowl environment where there is a lot of room for growth and things, but it does not provide a realistic expectation of what to expect in corporate america.",,[]
615,4.0,Great opportunity,I loved working for google it was one of the best experiences I ever had with employment with the company. I enjoyed learning new things about the business the pay was great and I also loved the atmosphere everyone was very nice and welcoming.,,[]
616,5.0,Productive and fun place,"excellent work place i ever have very free to work i have learned many things there and firstly job culture is excellent and management is excellent",,[]
617,5.0,It was a few month contract,"Great Company for Full time employee, Worked on one project then move to full time work in an SD-WAN company in santa Clara.  It was great work environment, Food was good, It was a few month contract that is it less then a year.",All PRO,[]
618,3.0,"Solid company for engineers, not recommended for recruiting.","The recruiting process is far too long, most engineers wait 2 to 3 months for an offer and the technical questions asked are intended to trick candidates.","Equity, perks",[]
619,5.0,Bad,Not appreciated or get payed correctly no training no help they don’t communicate with you and ignore you could have better managers and someone to help in payroll,,[]
620,3.0,Cool,Je n'ai rien à ajouter sur le travail chez google.,,[]
621,5.0,productive and fun workplace,"Great organisation with good learning opportunities,fun place and good management.Free food and cab facilities.A work day consists of learning activities and timely trainings.The hardest part of the job is target deadlines.The most enjoyable part is fun fridays.",,[]
622,5.0,Fun place to work.,"Unlike any company I've ever worked for. Incredible opportunities for growth in every direction a person can look to expand oneself. The extent for incusiveness and respect for all, was unlike any company I've ever worked for. Was an amazing experience from atmosphere to people.",,[]
623,3.0,"flexability, time management","I have a career in processing data, from data entry of checks for customer payments, to data entry of clients receiving such information. Time management.",,[]
624,1.0,great environment but bad management.,"For me the work environment is fun , with a cooperative colleague at work place. But , the management is sucks when they giving you 0 benefits to their staff.",free lunches,[]
625,3.0,About my most resent,This company is really great. Excellent team of people. I really enjoyed working for them. Sad the closed there doors in Fredericksburg. They are a fair company even if they lay you off.,Feeling like family,[]
626,5.0,Excellent job,"It was a very important position with huge responsabilities and also fun to do, I learned a lot about the City that I live in, excellent manager and supervisors",,[]
627,5.0,Excelente empresa,Excelente empresa para trabajar y con buen horario y sueldo.,,[]
628,5.0,In house Junior PR executive,"I worked as a PR junior account executive for Google in Colombia. I loved every minute of it, I learned so much from the head of Comms and I met amazing people.",Free lunches,[]
629,5.0,Excellent place,"Google is full of opportunities, and it is recommended for people who has initiatives and are willing to be part of a team. With so many people from diverse professional backgrounds and walks of life, it is very easy to adapt to the environment.",Free lunch,[]
630,5.0,amazing ,Really loved it. such a great time. entire team was great. the work environment is so professional. highly recommend you and your friend applying and working here you will love it,,[]
631,5.0,Great place to work,"Google office in Mexico city are amazing, the team that works there is very commited and friendly. I learned that you dont have to do everything by your self, the encurage teamwork.",,[]
632,4.0,"It’s Google, you know what that is","You’re paid so so much money and benefits it’s outrageous. Mountains of free food, nice gym, ski trips and more. But you know why you’re paid so much? Because the work is soul crushing and has no real meaning. Yes, you will do evil, in many small ways every day. You will make complex products more complex because that makes money. Your job is to make billionaires billionairier and never forget it.",,[]
633,4.0,"Flexible, fun, and creative","A great place to work with a fun, supportive, and exciting work environment. Creativity and thinking outside the box are not only welcomed but also encouraged.",,[]
634,5.0,Productive and fun place to work,Great! I love the company culture and people I am working with. Everybody is super friendly and eager to help. My team members and manager are super helpful when it comes to teaching and explaining stuff. I am happy to be a part of this company.,,[]
635,5.0,Great,"Working with Regalix for Google Ads process.I will be completing 2 years. Learned many new things.Experience with new business. Every day a new challenge.",,[]
636,1.0,Employee perks,"Bad management,,,,  no leadership .... no guidance ... impossible expectations. They expect a person to read the mind of the manager ... the manager needed to clone himself and do the job himself.",,[]
637,5.0,Team enviroment,"Dynamic and motivated professional with a proven record of generating and building relationships, managing projects from concept to completion, designing educational strategies, and coaching individuals to success. Skilled in building cross-functional teams, demonstrating exceptional communication skills, and making critical decisions during challenges. Adaptable and transformational leader with an ability to work independently, creating effective presentations, and developing opportunities that further establish organizational goals.",,[]
638,5.0,Fast fun and productive work place.,My time with google was good was rewarding the pay was great and most the people I worked with were awesome. Management was mostly good and respectful.,,[]
639,5.0,Good one,"It was good experience to work with GoogleDefinitely recommend all the people to work with GoogleNice companyNice environmentGood level of knowledge",,[]
640,5.0,Very productive work place to be at. Various cultural activities and a great environment overall to be working at.,I found my previous work experience at Google to be enjoyable. I learned how to cooperate best in a team with my fellow coworkers and to properly self manage myself and my time overall. I also developed effective communicative and marketing skills; skills in which I had lacked prior to joining Google then.,,[]
641,5.0,Incredibly energetic and challenging workplace,My career path and personal growth has skyrocketed in my 2 years here. Great support and diverse challenges to help sculpt anyone that wants it. Very much an environment that won't micro-manage as long as your output us there.,,[]
642,5.0,Productive and fun work environment,"This has been one of the most enjoyable companies that I've ever been able to work for. The work that I got to do impacted hundreds of thousands of people. Every single other employee I met at Google was also kind and helpful. I got to finish two projects in the course of a summer largely due to the amount of support I received. Besides that, the work / life balance is phenomenal","Free lunches, nap pods, bowling alleys, arcades, coffee bars, swimming pools, massages, laundromats, volleyball courts, healthcare",[]
643,4.0,"Google es una muy buena empresa, pero no es lo mismo trabajar directamente para Google que en una subcontrata que tenga como cliente a Google.","Innovadora,aprendes siempre algo nuevo. Es muy interesante.",,[]
644,5.0,"Fun Place to work, if not Temp","Great People. Work environment is awesome. If Temp, you are very expendable and they let you know that with the pay amount. Others around the job have the sense of wanting to work and include you. Everyone seems to help everyone, and that is always a great place to work.",,[]
645,5.0,Contracting at Google,"I was a contractor at Google for 2 of their project. In my first project I had an excellent experience at Project Loon at Google X Lab. In my second project in Google Network team , the experience was a mixed, it was less exciting than the previous project, might be because of my employer in the second project.",,[]
646,4.0,Fun and lots of food,"It was a great place to work! Except the building had bed bugs. The hours worked for me and it was close to my house, and they give out presents like TVs and XBoxes and PS.",,[]
647,5.0,Excellent work environment,"Working for google express gives flexibility and sustainability with family and work culture,  very diverse with staff personnels. Informative with feedback.",,[]
648,3.0,Good,"All goes good from work to real life,is a balance,staff welfare are taken care.Is a challenge and to fight fire everyday to make sure All things are good.",,[]
649,5.0,Productive and fun place to work.  Free cafeteria food and contests to keep the excitement up.,Working as an Agency Development manager allowed me the opportunity to build strong relationships with our partner agencies.  I was able to put myself into the role and really gain the trust of my assigned book of business.  The company rewarded my efforts with several cash and prize incentives in addition to a generous salary.,Free lunches and perks,[]
650,5.0,"Dynamic, Ever Changing, Fun","A great place for those that like working with a wide variety of talented people, enjoy challenging work, coupled with a fast paced work environment. Overall, a great place to grow and make friends while working.",Free Food! How can that be bad?,[]
651,5.0,amazing ,Really loved it. such a great time. entire team was great. the work environment is so professional. highly recommend you and your friend applying and working here you will love it,,[]
652,5.0,They provide high quality services for their employees and are professional,What stands out about working at this company is that they provide top notch products services for their employees benefits and they're very professional,,[]
653,4.0,Great place to work with self motivation,This job is very well due to the fact that management above is rarely seen. This is due to working in multiple retail locations and super independent. Hardest part about the job in staying productive with different stores.,,[]
654,5.0,Best company in the world!,I enjoyed my time at Google and felt like I was a part of something bigger.  Google cares about their employees and has incredible campuses to work on.,,[]
655,5.0,Fun workplace,Competitive environment and will push you to your limit. We are not directly under Google since there is no entity here in the Philippines but we work inside a Google owned facility.,,[]
656,5.0,Goood,Working with google and associates  of google are excellent  and willing to work again.Their working culture is good and facilities provided for staff is good and treatment towards employees is friendly  and good willing to work again  in such environment.,,[]
657,5.0,It was great and I would recommend it to everyone,"It was great working there and it was a great experience and everything was so chilled out, everyone would love such a job, Google loves it's employees and that's why they work so well",,[]
658,4.0,Awesome,Great workplace and advancement opportunity. Your ability to apply your creativity and let your voice be heard makes it a warming environment. I would recommend.,,[]
659,5.0,Interesting experience,The work/life balance was great. Salary was very good. Challenging and exciting work. Oftentimes had overtime approved. Flexible schedule with no issues. No 401k or any benefits.,,[]
660,5.0,Productive,"It was a great place for a fresher. I got to learn a lot of things professionally, which helped me in my career. I will suggest this organisation for anybody who is just passed out of the college.",,[]
661,5.0,Great place,"Great pay, great people. This company will give you the highest level of money and benefit. You don't need to pay anything for full coverage. 100% of dental, 100% of drug and 100% of everything within limitation. Nice and knowledgable coworkers. You can really learn a lot from them.",,[]
662,4.0,perks,lots of perks but not too many full time employees. Most are contract or will move to other cities. They also have lunch and breakfast every day. Also lots of oniste,,[]
663,5.0,Fun relaxed workplace,Interesting to work with businesses and educational institutions and regular people who are starting businesses got to learn about Google Core products and how they work,Free coffee,[]
664,5.0,9/10,"Great Journey every day, a lot of challenges. Great multicultural environment.",,[]
665,4.0,low,I worked for youtube from home as a volunteer mostly with travel to California benefits only.. Scout and report inappropriate content from youtube recent video uploads..,,[]
666,5.0,Volunteering Job,Nice place to learn - didn't work formally here but learnt a lot more about dev communities and networking from the role. Lot to explore in various AI teams if interested in ML/AI.,,[]
667,5.0,Ambiente stimolante,"Richiede continui studi e aggiornamenti.La possibilità di lavorare da casa è eccellente.",,[]
668,4.0,Good work and life balance,"Good work and life balance, fair pay, overall positive team dynamic and some healthy amounts of competitions. Overall a great experience at the Toronto office.",,[]
669,4.0,Good,"The Involvement of work wiil be more weather that be a small work need to be involved from the higher level associates   management will be some coperitive  NO standards gone be maintain",,[]
670,5.0,fun,"Google has everything that an employee would expect from one of the largest companies in the United States in terms of market capitalization: Bicycles and electric cars to get staff to meetings, gaming centers, organic gardens, and eco-friendly furnishings. Google wants to make its employees' lives easier, and it's constantly searching for ways to improve the health, well-being, and morale of its Googlers.",,[]
671,5.0,Great company to work for,I work as a blogger and YouTube video producer and love that I can do it all from home and receive a check in the mail from Google Adsense. The company constantly gives me advice on how to better my articles and up my view count to make more money.,,[]
672,5.0,amazing ,Really loved it. such a great time. entire team was great. the work environment is so professional. highly recommend you and your friend applying and working here you will love it,,[]
673,5.0,Always learning,"I'm excited to come to work and learn, and the people I work alongside are wonderful people. There's a ton of talent here, and I do think the managers I've had were willing to listen and help out with various things (time off, more challenging work, etc) whenever I've asked.",,[]
674,5.0,Best place to work,I have worked in google as an internee for just 6 moths all in all it is an ideal place to work for any individual who’s socially active. Because you have a perfect life balance there between your work and social life,,[]
675,4.0,fun workplace,"Google wants to make its employees' lives easier, and it's constantly searching for ways to improve the health, well-being, and morale of its Googlers. Google offers on-site physicians, nurses, medical services and health care coverage to keep its employees happy and healthy.",,[]
676,4.0,Had its ups and downs.,"Overall decent experience with good compensation, interesting work for a remote position, and office perks. Low points were the TVC versus full-time employee culture and the micro-management policies imposed by the higher management.",,[]
677,5.0,The Best Culture,Even as a contracted employee it is the best place to work. The emphasis on work life balance is important and there are so many resources to help you be your best.,,[]
678,5.0,Creative fun innovative workplace,"Very professional and respectful work environment. Fun place with intelligent team. The opportunity to work with cross function teams.Approachable team members and leads. Open communication to improve workflow. Free food and drinks. The ultimate google culture experience",,[]
679,5.0,I give Google a rating of 💯% because Google always stays 💯% better than any business by always having the information and bussiness solutions!,"Google Business has the leadership above and beyond any other business because it is highly advanced with any questions or concerns to optimize bussiness solutions.I strongly believe Google Business has the leadership way above and beyond any business with Google.I have been in business working my whole life Google is the best.and...and my  with many",,[]
680,5.0,Fun and inclusive environment for contractors,"Contracting jobs usually get a bad rep for being void of benefits usually reserved for full time employees. At Google, I felt like a true part of my team, and not hired help.",,[]
681,4.0,Great Workplace Atmosphere,"Great place to work, great benefits, great team environment. It has a fantastic culture internally and product to match. Growth opportunities used to be plentiful, but times have changed as the company has grown. It's harder to find upward mobility. The culture is collaborative and the global reach provides an interesting opportunity to connect with employees across departments and markets.",,[]
682,5.0,Great Work Ethics,"Finest people in the world too work with.They have shown me that they put the customers satisfaction over everything else.Fast paced environmentbut a true pleasure and life learned  experience.",,[]
683,5.0,Best place to Learn new things,"I worked there for a year and it was by far the best work experience I ever had. Fellow employees are very friendly and the managers are very intelligent and friendly individuals. Overall, I had a great experience working there!",,[]
684,5.0,Positive work culture,I really love work with google india through intelenet global services . Positive atmophere . Hope to work with google again love to get a chance to work.,,[]
685,4.0,Good,"Good work experience at that organization with made me improve my skills work terminology and work experience with that organization ...Made me improve my work environment with team.",,[]
686,4.0,Procuctive workspace with open mindset,"Meetings with fixed scope and usesetcCollaboration across global teamSpace for open thinkingFlexible working hoursFree Food and relaxation options",,[]
687,5.0,Very well outlined quite to the point,I own indeed and as its owner I always search for new and inventive ways to improve my clients experiences. I stay in tune with my Constituents demands as to what is innovative and trending in today's markets,,[]
688,5.0,super cool,"super cool till you burn out and have a meltdown from all the crazy.Benefits: Health insuranceDental insuranceVision insuranceRetirement planPaid time offProfessional development assistanceTuition reimbursement- 21 days agoreport job",,[]
689,5.0,It is a good company,It is a good company.Everything is well managed.Managers are helping in nature.Training provide very well.A fresher can get know about project from the training.,,[]
690,5.0,"Ambiente excelente, comida gratis","Excelente ambiente, compañeros increíbles, horario laboral complicado, un poco pesado por el estrés",,[]
691,5.0,He tenido buenos jefes y jefas,Me gusta trabajar en equipo y he tenido la suerte de tener excelentes equipos de trabajo,COMPRENSIÓN,[]
692,5.0,Fun online work that paid well,"My job as a brand ambassador had to do mainly with trying to create excitement around an application called Who's Down. We presented to different groups around my college campus, ordered food for them, and threw campus parties.",,[]
693,5.0,amazing ,Really loved it. such a great time. entire team was great. the work environment is so professional. highly recommend you and your friend applying and working here you will love it,,[]
694,1.0,NO work life balance,Its fun to work there but remember you will lose the sense of your belongings outside of google. No work life balance.  Over all not recommended with people with family.,,[]
695,5.0,Fun place to work!,"Collaborative and fun place to work. Great management. Excellent work-life balance. Opportunity to grow yourself ground up. Free foods, car park, flexible routine - overall an excellent experience.",,[]
696,2.0,If you work for Google make sure it's not for a sub contractor,The subcontractor we were employed under took a wonderful standing Google customer support center and burned it down to the ground. Constant threats about not meeting client goals to awful & discrimination from managment drove employees out the door. No opportunity for raises. Shut down due to subcontractor not standing by the employees.,,[]
697,5.0,great place to work!!!! Fun environment,"productive and fun place to work, enjoyed the culture and people. tasks were challenging and it was nice to work as a team and complete goals as we seen fit.",,[]
698,5.0,A great company with intelligent people,My typical day at work is closely working with software and hardware engineers for the improvement of the quality of the products. I have learned to be flexible at work and be able to perform different tasks both individually and corporately. The workplace culture is fun and motivating. The hardest part of the job that would frustrate me the most is that I am unable to familiarize with the tasks while the deadline is approaching. The most enjoyable part of the job is that I can work with people who are hard-working and enjoying with what they are doing at the same time.,,[]
699,3.0,ever-changing environment,"You have the opportunity to be tested every minute. Goals are set to make work exciting every day.Your training needs to be adaptive to new challenges.",,[]
700,4.0,Productive And Fun Workplace,"Learned how to manage multiple tasks at a time, the workplace is fun and productive at google. I enjoyed my work and completed the given tasks within the required time.",,[]
701,4.0,Great place to work,"learned a lot from my team. My team and manager are very supportive. A lot of organizations and clubs to join inside the company. Googlers are so nice, and you can ask to meet with them.",,[]
702,5.0,Best place to Work,Every day you will learn new that's the work culture and the hardest part of the job would be creating the presentation that your boss will like and you have to also make sure that you know your numbers,,[]
703,5.0,work was fun because it included travelling aswell.,overall i would rate working for Google is 5 star. It was fun to work for Google and we had tasks given for the day to go and inspect stores where Google products were being sold. we also had to train individuals if there was a new product launched.,,[]
704,5.0,Ambience agreable,Ambience de travail detendue. Employes pris en compte.,,[]
705,4.0,Productive and fun place,"good place to work , am accountable for sourcing and staffing and directly interact iwth client on role fulfillment. ensure smooth onbaording and client interaction",,[]
706,5.0,Great job,One of the best contracts I've ever had. By far one of the most fun years of my life working for Google. I would definitely recommend working there if possible and finishing your career there.,,[]
707,4.0,Great learning expereience and helped my grow career wise,I was hired through a recruiting company so my experience is through a contracters experience. It is hard to transfer over as FTE. But i do say now that I have been gone for over a year. Google has taught me alot and ive gained soo much knowledge that I dont think I would have learned anywhere else. They are well advanced in framework and processes compared to other companies and It makes sense why they are one of the top companies in the world.,,[]
708,5.0,Love the work Culture,Typical Sales day with boosting product sales with a Googley Culture. The management really cares about you and want the hard workers to succeed. You have to be very sales oriented.,,[]
709,4.0,Intellignet Co-Workers,"Intelligent Co-Workers and supportive teams, but limited upward mobility after a time at the company.  Great place to learn a core set of digital skills and be on the forefront of technology",,[]
710,1.0,Google/Allied Universal,"I do not work for Google, I work for Allied Universal. Google is Allied's client. Google chose security companies that they want to work in their building. Allied Universal was selected by Google. Allied Universal hires the security officers to work in the Google building.",,[]
711,5.0,Good,"I worked for a company subcontracted to execute the program, I didn't deal with google directly but the company I worked for seemed to have a good relationship with the google team",,[]
712,5.0,Great company to work for!,"Great company to work for! Great culture, great people, good worklife balance, AMAZING food, very high compensation, interesting work, fast pace, lots of learning and development.",,[]
713,4.0,Great but intense,"Great work environment, but hard to advance. Lots of competition and people get stuck all at the same level. Also work/life balance can be difficult with the expectations.",,[]
714,5.0,amazing ,Really loved it. such a great time. entire team was great. the work environment is so professional. highly recommend you and your friend applying and working here you will love it,,[]
715,5.0,Divertido,Buen ambiente de trabajo. Buena remuneracion. Beneficios. Producto innovador.,,[]
716,1.0,Toxic Start Up,"Google Express was a startup - one month after relocating for my dream job, I was told that Google Express might be enduring layoffs. The next year was the worst layoff experience of my professional career. All of my resentment stems from the layoff of Google Express and the staffing agency that they hired and not of Google itself.",,[]
717,2.0,Zero Life Balance,Expect to work 80 - 90 hours a week if you want a decent perf. Management changes frequently and not always in a good way. Job assignments are vague and perf is torture.,,[]
718,5.0,Fast Paced Competitive Environment,"Coordinated the Google Retail Program (GRP), and managed teams of Google Retail Specialists creating awareness, and facilitating sales of all Google HardwareCreated in-depth training templates to be used on a nationwide program levelEstablished strong rapport with top management in various environments, and created a strong connection of communication to ensure our client’s needs were consistently and exceedingly met",,[]
719,4.0,Great place to work with smart helpful people,"- Everyone is super smart and super helpful- Work is ambiguous and it's more of you deciding what you want to work on than being handed tasks- Managers really work towards enabling your career growth and providing the right guidance/feedback/support- There are a lot of opportunities to move around in different teams and functions",,[]
720,4.0,Very welcoming environment,"Very well around work environment to with with.I would recommend them as a place to work, as it was very educational and also a great experience. I highly recommended working at Google.",,[]
721,5.0,Great place to intern,I interned with Google in 2017 and it was an enriching experience. I learnt a lot from the collaborative & relaxed work environment at their Hyderabad office.,,[]
722,5.0,Productive and fun,Interesting experience that really helped me develop as a person and increase my work experience as well. I was warmly welcomed and the people there were really friendly.,,[]
723,5.0,It was a good learning experience.,"It was a good experience to learn about google and its culture, I am glad I've been a part of google team, work environment is good as we all know about Google :)",,[]
724,5.0,"fun loving,relaxed environment, glad to work","I am very much comfortable with google's environment. I has a very good culture. l am glad that I was part of such a very friendly, loving environment.",,[]
725,5.0,Best job EVER,I couldn't have a better opinion of Google X as everyone was beyond helpful and extremely accommodating. It was an absolute honor to have worked with some of the brightest minds in creating radical new technologies to solve some of the worlds hardest problems.,,[]
726,2.0,stressful and very strict on how their customer satisfaction policy,"Can be stress free if you are used to working at call centers, and it would be better to work full time because otherwise all the policies are slightly stricter on you for be there only part time since you wont be there as long as everyone else and will get alot less calls overall than those who are full time. You have to know what you are doing because just one call can make it or break in terms of your customer satisfaction score.",,[]
727,3.0,Love  it,I do search terms for google as l see what is easiest to find  for people looking for a career with a top100 company culture is great. Google have a lot of services and I find them to be really good.,,[]
728,4.0,Good company to work.,"Positive environment Friendly team and approachable Managers and Leads Learning opportunities if you are sincere and committed, hard work pays off. Also good for learning new things.",,[]
729,4.0,Backend Java Engineer,I am dedicated individual and team player who enjoys working as backend developer. Always keen to learn new lessons and stay current on tech stack. I would like if the workplace culture is fun to be at work.,,[]
730,5.0,Lots of Perks on campus. Friendly working environment.,"I enjoyed the opportunity to work with Adword & Biz Dev. professionals at Google. I was exposed to Ad Buyers of $200,000+ per month of Ad spend. A great place to start your career.",,[]
731,5.0,Productive and fun work place with a ping pong table,"Laid back environment but plenty of opportunity to grow -- you're constantly surrounded by bright individuals. Company culture is generally inclusive, felt extremely comfortable working there.",,[]
732,4.0,"Great money, solid tech, Stalinist culture","The pay was great--and even better when the pager bonus (which was not mentioned in the offer) is counted. The tech is, as it must be, groundbreaking.  There are more problems with tech debt than might be expected, but resources tend to be thrown at problems before things go critical.  Do note:  on average, the engineers there are merely above average.  Lots of greatness there, but also a lot of embarrassing code. Their promotion of tech leaders to management has a siginficant drawback, in that these two skills are extremely different.  First-level managers especially are very random in their skill. But beware:  Google is even more aggressively liberal internally than externally.  Conservatives keep their heads down, and being outed can lead to unbearable conditions.",,[]
733,4.0,Great place to work!,"Long commute, but an excellent work place. Benefits are top notch, caring co-workers. Manager that really care and are committed to improving.  I highly recommend working there.",,[]
734,5.0,Really fun place to work,Great workflow and management.  Amazing food and people.  Various group projects in different areas and time shifts.  Travel.  Great atmosphere.  Great hardware and solutions.,,[]
735,5.0,amazing ,Really loved it. such a great time. entire team was great. the work environment is so professional. highly recommend you and your friend applying and working here you will love it,,[]
736,5.0,Really fun place to work,Great workflow and management.  Amazing food and people.  Various group projects in different areas and time shifts.  Travel.  Great atmosphere.  Great hardware and solutions.,,[]
737,4.0,Great experience would work again,"If you like driving and going to new places this is a great job, paid diet and room if needed while traveling, the tevh behing google street view was fun to learn",,[]
738,3.0,Productive and fun place to work,"Ability to work on own initiative as well as part of a teamFriendly co workersWorking hours is flexible. Learned a lot when it comes to technical troubleshooting",,[]
739,5.0,Fun place to Work,Laid back creative environment.  Inclusive diverse environment worked with many talented individuals.  Lots of projects and communication globally.  Monthly work fair showcasing employees newly developing product and launches of personal developed products.  Fun and interesting people to work and collaborate with.,,[]
740,1.0,very good food on the Mountain View Campus !!,VERY bad diversity managerment from manager / NO training / wasted time in useless Stand up meetings / language barrier /  manager not available for help  /,,[]
741,5.0,Was okay,"Place was great to work for but,not. A lot of advancement in my department available. I would work for them again though, they try to make sure you are taken care of.",,[]
742,3.0,Pressured to keep calls short even when the call required a longer period of time to fix the problem.,The culture was the best part of the job. I had great co-workers. Employees had a lot of pressure from the supervisors when you were on the phone for longer than they liked even when you needed more time to fix the problem.,,[]
743,5.0,New World,"It given inputs, how to handle the escalation in stress time. And how to work in a friendly mannerSupportive team workAnd Helping to reach the goals",,[]
744,5.0,Workplace culture,"We truly care about the safety of our employees. Working with them to understand safety and making sure all of our equipment is being taught how to use before they get to use it on their own is something we truly take account on. The modo we live by everyday at work is, we want you to go home like you came into work. I believe that this is a part of what makes our workplace culture believe in safety and wanting to be safe for themselves and others.",,[]
